player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
Vincenzo Grifo,Freiburg,31, AM(CL),30(3),2427,15,5,2,0,2.0,78.8,0.5,5,7.27,0.9,0.6,0.2,0.0,0.4,0.5,0.0,0,1.7,1.3,0.9,0.2,0.8,1.3,35.7,1.0,2.3,0.2,11.6,3.4,0.43,66.0,0.18
Jonas Hofmann,Borussia M.Gladbach,31," D(R),M(CLR),FW",30(1),2693,12,9,2,0,1.5,80.9,0.4,7,7.25,1.0,0.5,0.5,0.0,0.4,1.2,0.1,0,3.2,0.5,1.3,0.7,1.1,1.4,41.8,2.4,1.5,0.3,7.74,4.26,0.26,45.0,0.17
Sébastien Haller,Borussia Dortmund,29, FW,15(4),1232,9,3,1,0,1.8,70.5,2.2,1,7.21,0.3,0.1,0.7,0.0,0.5,0.2,0.0,0,0.8,0.5,0.7,0.2,0.8,0.9,16.1,0.0,0.2,0.0,9.31,-0.31,0.68,34.0,0.27
Donyell Malen,Borussia Dortmund,25," AM(LR),FW",22(4),1724,9,5,0,0,2.5,80.4,0.2,3,7.2,0.5,0.2,0.5,0.0,0.3,0.3,0.0,0,1.1,2.0,1.5,0.1,1.5,1.5,21.0,0.7,0.5,0.0,9.9,-0.9,0.52,64.0,0.15
Julien Duranville,Borussia Dortmund,17, Forward,0(1),28,0,0,0,0,1.0,77.8,0.0,0,7.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,3.0,1.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,0.02,-0.02,0.06,1.0,0.02
Kingsley Coman,Bayern Munich,27," M(LR),FW",16(8),1421,8,5,0,1,2.0,84.7,0.5,4,7.2,0.5,0.1,0.4,0.0,0.3,0.4,0.0,0,1.8,2.0,0.9,0.2,0.8,2.0,29.9,0.9,0.8,0.1,4.93,3.07,0.31,49.0,0.1
João Cancelo,Bayern Munich,29," D(LR),M(R)",11(4),1015,1,4,3,0,0.8,85.1,1.1,0,7.2,1.5,1.0,0.7,0.0,1.0,0.9,0.1,0,0.9,2.3,1.0,0.2,0.6,1.3,48.7,0.5,2.3,0.1,0.67,0.33,0.06,12.0,0.06
Eric Choupo-Moting,Bayern Munich,35," M(CLR),FW",14(5),1117,10,2,0,0,1.6,77.6,0.9,3,7.19,0.5,0.0,0.2,0.0,0.3,0.1,0.0,0,0.8,1.1,0.4,0.6,0.8,1.7,15.1,0.1,0.3,0.1,7.34,2.66,0.59,31.0,0.24
Benjamin Pavard,Bayern Munich,28," D(CLR),M(R)",27(3),2432,4,1,6,0,1.1,89.9,2.1,2,7.17,2.3,1.5,0.9,0.2,2.5,0.4,0.5,0,0.6,0.0,0.6,0.2,0.1,0.4,74.4,0.4,3.2,0.0,2.47,1.53,0.09,34.0,0.07
Alphonso Davies,Bayern Munich,23," D(L),M(LR)",24(2),2049,1,4,0,0,0.7,87.2,0.2,2,7.14,1.7,0.9,0.3,0.2,0.7,0.8,0.2,0,1.7,2.7,1.0,0.1,1.0,1.9,53.0,0.3,1.4,0.0,1.89,-0.89,0.08,19.0,0.1
Florian Wirtz,Bayer Leverkusen,21," AM(CL),FW",11(6),1092,1,6,4,0,0.4,78.5,0.1,3,7.14,1.1,0.1,0.8,0.0,0.4,0.5,0.1,0,2.3,2.8,1.6,0.1,1.6,2.4,34.0,0.5,1.5,0.4,0.85,0.15,0.07,7.0,0.12
Yann Sommer,Borussia M.Gladbach,35, GK,10,900,0,0,0,0,0.0,80.5,0.0,2,7.13,0.1,0.0,0.0,0.0,1.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,0.0,6.9,0.0,,,,,
Thomas Müller,Bayern Munich,34," M(CLR),FW",21(6),1672,7,8,0,0,1.7,77.4,1.4,1,7.12,0.8,0.1,0.3,0.0,0.5,0.4,0.1,0,1.4,0.3,0.4,0.2,0.7,1.8,28.7,0.1,0.5,0.1,8.15,-1.15,0.44,47.0,0.17
Jeff Chabot,FC Koln,26, D(C),21,1806,0,2,3,0,0.7,82.7,4.3,2,7.12,1.7,2.0,1.4,0.5,4.9,0.7,0.9,0,0.2,0.2,1.0,0.1,0.1,0.2,56.1,0.0,2.2,0.0,1.31,-1.31,0.07,14.0,0.09
Jeremie Frimpong,Bayer Leverkusen,23," D(R),M(R)",32(2),2723,8,7,4,0,1.1,81.2,0.4,4,7.12,1.6,0.5,0.6,0.1,0.9,0.6,0.1,0,1.3,2.5,1.7,0.2,1.4,2.6,27.5,0.5,0.5,0.0,7.57,0.43,0.25,38.0,0.2
Michael Gregoritsch,Freiburg,30," AM(CR),FW",27(3),2173,10,4,6,0,2.2,56.6,4.7,5,7.11,0.6,0.2,0.8,0.0,0.3,0.6,0.1,0,0.8,0.4,1.4,0.4,0.7,1.7,17.3,0.0,0.2,0.0,10.18,-0.18,0.42,67.0,0.15
Serge Gnabry,Bayern Munich,28," AM(CLR),FW",22(12),1943,14,5,0,0,2.4,82.3,0.3,4,7.1,1.0,0.3,1.0,0.0,0.1,0.8,0.0,0,1.1,0.8,0.3,0.3,0.8,1.5,23.9,0.3,0.6,0.0,11.24,2.76,0.52,82.0,0.14
Marcus Thuram,Borussia M.Gladbach,26," AM(L),FW",28(2),2519,13,6,3,0,3.1,75.2,1.4,4,7.09,0.5,0.2,1.1,0.0,0.7,0.2,0.1,0,1.0,1.4,1.5,0.6,1.7,3.7,18.3,0.1,0.1,0.0,16.28,-3.28,0.58,92.0,0.18
Leroy Sané,Bayern Munich,28," M(CLR),FW",20(12),2012,8,7,4,0,2.4,82.8,0.2,1,7.09,1.2,0.1,0.5,0.0,0.0,0.6,0.0,0,1.1,2.3,0.7,0.2,1.9,1.9,32.8,0.1,0.8,0.1,9.51,-1.51,0.43,78.0,0.12
Nico Schlotterbeck,Borussia Dortmund,24, D(C),27(1),2255,4,5,3,0,0.6,86.8,2.1,0,7.09,2.1,1.1,0.6,1.0,2.4,0.6,0.8,0,0.5,0.4,0.6,0.0,0.3,0.5,67.4,0.0,5.3,0.1,1.7,2.3,0.07,18.0,0.09
Frederik Winther,Augsburg,23, D(C),1,90,0,1,0,0,0.0,62.9,6.0,0,7.08,2.0,0.0,0.0,0.0,7.0,2.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,4.0,0.0,,,,,
Florian Kainz,FC Koln,31, M(CLR),31(1),2372,6,10,4,1,1.7,72.6,0.3,3,7.06,0.7,1.0,0.9,0.0,0.7,0.6,0.2,0,2.2,1.0,1.3,0.0,1.1,1.2,28.7,2.3,1.7,0.2,6.08,-0.08,0.23,54.0,0.11
Moussa Diaby,Bayer Leverkusen,24," M(CLR),FW",33,2716,9,8,4,0,2.4,79.2,0.1,3,7.06,0.4,0.2,0.5,0.0,0.1,0.2,0.0,0,1.8,1.5,0.7,0.3,1.3,1.9,26.4,0.7,0.8,0.2,9.87,-0.87,0.33,80.0,0.12
Willi Orbán,RB Leipzig,31, D(C),33,2951,4,0,3,0,0.8,89.1,3.4,0,7.04,1.5,1.2,0.5,0.5,3.9,0.5,0.7,1,0.2,0.2,1.0,0.1,0.2,0.4,79.6,0.0,4.2,0.0,3.01,0.99,0.09,27.0,0.11
Ellyes Skhiri,FC Koln,28, DMC,32,2857,7,1,5,0,1.0,88.4,1.3,2,7.04,2.5,1.8,1.1,0.0,1.3,1.3,0.4,0,0.8,0.8,0.3,0.1,0.6,0.8,52.7,0.1,2.1,0.0,5.43,1.57,0.17,32.0,0.17
Maximilian Arnold,Wolfsburg,29, M(CR),32,2775,5,3,5,0,1.1,83.2,1.0,2,7.02,1.9,0.8,1.0,0.1,1.9,0.8,0.3,1,1.3,0.3,2.0,0.0,0.7,0.6,45.9,1.2,5.2,0.2,4.67,0.33,0.15,34.0,0.14
Frederik Rønnow,Union Berlin,31, GK,29,2610,0,0,2,0,0.0,66.8,0.3,3,7.01,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,40.3,0.0,9.0,0.0,,,,,
Borna Sosa,VfB Stuttgart,26," D(L),M(L)",22(3),1961,2,7,5,0,0.6,82.2,0.6,2,7.01,1.1,0.8,0.5,0.2,1.4,0.4,0.2,0,2.7,0.7,0.5,0.0,0.6,0.8,41.0,3.2,1.8,0.0,0.93,1.07,0.04,15.0,0.06
Philipp Hofmann,Bochum,31, FW,31(3),2643,8,2,5,0,1.5,58.9,6.3,3,7.0,0.5,0.2,1.4,0.0,1.4,0.2,0.2,0,0.8,0.3,1.2,0.5,1.1,1.5,21.6,0.0,0.3,0.0,8.44,-0.44,0.29,52.0,0.16
Konstantinos Mavropanos,VfB Stuttgart,26, D(CR),26(2),2288,2,1,7,1,1.7,83.5,2.9,2,7.0,1.8,2.3,0.9,0.5,3.5,0.4,0.6,0,0.5,0.6,0.8,0.0,0.2,1.1,49.7,0.1,5.7,0.0,4.38,-2.38,0.17,48.0,0.09
Paulo Otávio,Wolfsburg,29," D(L),M(L)",25,2051,0,5,7,0,0.8,75.2,1.1,1,7.0,2.9,1.2,1.0,0.4,2.5,0.9,0.2,1,0.9,0.9,1.6,0.0,0.3,1.1,36.8,0.8,1.6,0.1,0.7,-0.7,0.03,19.0,0.04
Marvin Ducksch,Werder Bremen,30," AM(C),FW",34,2867,12,6,4,0,2.8,69.2,0.7,2,7.0,0.2,0.3,0.1,0.0,1.1,0.4,0.1,0,1.5,0.4,0.5,0.4,0.5,1.9,22.9,1.2,1.1,0.1,11.1,0.9,0.35,95.0,0.12
Patrick Wimmer,Wolfsburg,22," AM(LR),FW",23(3),1665,4,8,7,0,1.2,65.5,0.8,0,6.99,1.5,0.6,1.6,0.0,0.4,1.0,0.1,0,1.4,1.0,1.2,0.3,1.2,1.9,17.6,0.7,0.4,0.1,3.81,0.19,0.21,31.0,0.12
Jonas Hector,FC Koln,33," D(L),M(CL)",32,2826,0,2,3,0,0.8,79.7,1.8,1,6.99,3.5,1.2,0.7,0.3,2.1,1.5,0.3,0,1.0,1.0,2.4,0.0,0.6,1.1,44.7,0.5,2.0,0.0,1.14,-1.14,0.04,25.0,0.05
Danilho Doekhi,Union Berlin,25, D(C),25,2218,5,1,0,0,0.7,80.0,2.4,4,6.99,1.5,1.2,0.8,0.2,3.6,0.5,0.5,0,0.3,0.1,0.6,0.0,0.1,0.3,37.7,0.0,2.0,0.0,1.84,3.16,0.07,17.0,0.11
Mats Hummels,Borussia Dortmund,35, D(C),24(6),2022,1,0,4,0,0.6,87.7,2.4,0,6.98,2.1,1.1,0.6,0.5,3.2,0.8,0.5,0,0.4,0.2,0.6,0.1,0.3,0.1,55.4,0.2,5.0,0.1,2.03,-1.03,0.09,17.0,0.12
Wataru Endo,VfB Stuttgart,31, DMC,33,2925,5,4,3,0,1.4,79.7,2.3,1,6.97,2.1,0.8,1.2,0.0,1.8,1.4,0.2,0,1.4,0.8,1.7,0.1,1.6,1.7,44.3,0.1,2.5,0.2,4.49,0.51,0.14,45.0,0.1
Ørjan Nyland,RB Leipzig,33, GK,2,180,0,1,0,0,0.0,74.2,0.0,0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,44.5,0.0,8.5,0.0,,,,,
Ludovic Ajorque,Mainz 05,30, FW,15(2),1220,6,1,5,0,1.9,59.4,5.4,2,6.97,0.4,0.1,1.4,0.0,0.5,0.5,0.1,0,0.8,0.4,1.1,0.3,0.8,2.7,23.9,0.1,0.8,0.0,4.35,1.65,0.32,32.0,0.14
Ramy Bensebaïni,Borussia M.Gladbach,29," D(CL),DMC,M(L)",28,2487,6,1,5,1,1.5,77.8,2.5,1,6.96,1.2,1.3,0.9,0.4,3.2,0.5,0.5,1,0.5,0.4,1.6,0.1,0.6,1.3,44.3,0.2,2.0,0.2,5.73,0.27,0.21,41.0,0.14
Matthias Ginter,Freiburg,30," D(CR),DMC",34,3060,4,1,3,0,0.6,82.9,3.5,1,6.95,1.3,1.0,0.7,0.3,4.4,0.4,0.7,0,0.4,0.1,0.8,0.0,0.1,0.4,55.4,0.0,4.3,0.0,2.51,1.5,0.07,21.0,0.12
Ralf Fährmann,Schalke 04,35, GK,12,1026,0,0,0,0,0.0,65.5,0.2,0,6.94,0.1,0.0,0.0,0.0,1.3,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,32.6,0.0,9.3,0.0,,,,,
Diant Ramaj,Eintracht Frankfurt,22, GK,1,90,0,0,0,0,0.0,77.8,1.0,0,6.94,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,,,,,
Mitchell Weiser,Werder Bremen,30," D(R),M(R)",29(1),2520,2,9,7,0,0.9,70.0,0.8,2,6.93,2.4,0.9,1.2,0.1,1.0,1.2,0.2,0,1.3,1.4,1.9,0.2,1.4,2.7,33.0,0.9,1.8,0.2,2.93,-0.93,0.1,28.0,0.1
Matthijs de Ligt,Bayern Munich,24, D(C),27(4),2405,3,1,4,0,0.7,91.3,3.1,0,6.93,1.0,0.7,0.6,0.6,2.6,0.3,0.6,0,0.2,0.0,0.5,0.1,0.1,0.4,66.9,0.0,3.2,0.0,1.31,1.69,0.05,23.0,0.06
Dani Olmo,RB Leipzig,25," AM(CLR),FW",15(8),1285,2,5,2,0,1.9,77.4,0.3,2,6.92,0.7,0.3,0.7,0.0,0.2,0.3,0.0,0,1.7,1.7,1.7,0.0,1.3,2.0,25.0,0.1,0.8,0.5,2.68,-0.68,0.19,43.0,0.06
Christoph Baumgartner,Hoffenheim,24," AM(CLR),FW",33,2582,7,3,7,0,2.0,68.3,2.2,1,6.91,1.1,0.5,2.0,0.0,0.5,1.3,0.2,0,0.7,1.6,1.5,0.3,1.1,2.5,25.6,0.2,1.0,0.1,7.31,-0.31,0.25,66.0,0.11
Sheraldo Becker,Union Berlin,29," AM(CLR),FW",33(1),2582,11,7,4,0,2.0,68.9,0.5,3,6.91,0.4,0.1,0.9,0.0,0.2,0.3,0.0,0,1.3,0.8,0.8,0.7,1.0,1.8,14.7,1.0,0.6,0.0,5.8,5.2,0.2,67.0,0.09
Michael Zetterer,Werder Bremen,28, GK,1(1),151,0,0,0,0,0.0,62.5,0.5,0,6.91,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8.5,0.0,,,,,
Rodrigo Zalazar,Schalke 04,24, M(CR),15(7),1326,1,6,4,0,1.7,68.6,1.1,3,6.9,0.7,0.3,1.0,0.0,0.5,0.7,0.0,0,1.6,1.6,1.6,0.2,1.4,2.4,13.9,1.8,0.7,0.2,3.23,-2.23,0.22,38.0,0.08
Ritsu Doan,Freiburg,25," M(CLR),FW",30(3),2445,5,4,3,0,1.7,72.2,0.3,0,6.9,1.8,0.4,0.9,0.0,0.3,0.9,0.0,0,0.8,1.5,1.6,0.2,1.6,2.3,17.9,0.3,0.5,0.0,6.73,-1.73,0.25,57.0,0.12
Finn Dahmen,Mainz 05,26, GK,8,720,0,0,0,0,0.0,60.7,0.9,2,6.9,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,0.0,7.0,0.0,,,,,
Timo Hübers,FC Koln,27, D(C),28(1),2558,3,0,8,0,0.5,82.4,3.3,1,6.89,1.5,2.0,1.1,0.6,5.1,1.0,0.4,1,0.1,0.2,0.8,0.0,0.1,0.3,58.4,0.0,3.2,0.0,1.63,1.37,0.06,15.0,0.11
Leon Goretzka,Bayern Munich,29, M(CR),22(5),1738,3,2,5,0,1.5,82.8,1.7,1,6.89,1.6,1.1,0.9,0.0,1.1,0.8,0.1,0,0.8,0.3,0.7,0.1,0.4,0.7,36.8,0.0,1.1,0.1,4.39,-1.39,0.23,40.0,0.11
Julian Ryerson,Union Berlin,26," D(LR),M(CLR)",12(1),1042,0,0,2,0,1.2,73.5,0.4,0,6.88,2.2,0.9,1.2,0.0,1.2,0.8,0.2,0,0.6,1.4,0.9,0.1,1.1,0.8,26.1,0.7,1.2,0.1,0.81,-0.81,0.07,16.0,0.05
Emre Can,Borussia Dortmund,30," D(CLR),DMC",20(7),1896,2,1,8,0,0.6,89.7,1.1,1,6.88,2.1,0.9,1.1,0.1,1.4,0.8,0.2,0,0.7,0.5,1.0,0.0,0.4,0.6,47.3,0.0,2.6,0.1,1.57,0.43,0.07,16.0,0.1
Lucas Tousart,Hertha Berlin,27, DMC,33,2948,5,2,1,0,1.3,61.7,2.8,3,6.87,2.2,1.5,1.1,0.1,2.0,1.0,0.2,0,0.5,0.7,1.3,0.0,0.8,1.5,25.8,0.1,0.8,0.0,3.47,1.53,0.11,43.0,0.08
Andreas Hanche-Olsen,Mainz 05,27, D(CR),17,1497,1,2,5,0,0.4,71.9,4.1,0,6.87,2.1,1.9,1.3,0.3,4.3,1.0,0.5,0,0.3,0.2,0.5,0.0,0.4,0.7,43.7,0.0,3.1,0.0,0.38,0.62,0.02,7.0,0.05
Robin Knoche,Union Berlin,31, D(C),32,2874,2,3,4,0,0.3,81.3,1.8,1,6.87,1.4,1.2,0.4,0.4,4.3,0.7,0.6,0,0.2,0.3,0.7,0.0,0.2,0.5,50.9,0.2,4.6,0.0,2.44,-0.44,0.08,10.0,0.24
Sasa Kalajdzic,VfB Stuttgart,26, FW,3,235,0,3,1,0,1.7,63.5,3.0,0,6.87,1.0,0.0,2.0,0.0,0.0,0.7,0.0,0,2.0,0.0,0.3,0.0,1.0,1.7,21.0,0.0,1.3,0.3,0.3,-0.3,0.12,5.0,0.06
Marc Oliver Kempf,Hertha Berlin,29, D(C),31,2713,1,0,5,0,0.5,78.0,4.3,1,6.87,1.4,1.6,0.9,0.9,4.5,0.2,1.0,0,0.3,0.4,0.8,0.0,0.2,0.5,41.8,0.0,2.2,0.1,2.08,-1.08,0.07,16.0,0.13
Noussair Mazraoui,Bayern Munich,26, D(LR),11(8),1072,1,4,0,0,0.4,86.9,0.9,0,6.86,1.5,0.5,0.8,0.2,1.1,0.5,0.1,0,1.0,0.9,0.6,0.2,0.3,0.6,38.9,0.2,0.5,0.1,0.73,0.27,0.06,8.0,0.09
Konrad Laimer,RB Leipzig,26," D(R),M(CR)",17(4),1474,3,0,8,0,1.0,80.5,0.1,1,6.86,2.9,0.9,1.4,0.0,0.3,1.1,0.2,0,0.8,1.5,1.0,0.1,1.0,1.7,34.6,0.1,1.2,0.1,2.71,0.29,0.17,20.0,0.14
Felix Nmecha,Wolfsburg,23, M(C),19(11),1841,3,5,3,0,1.2,76.7,1.5,1,6.86,1.4,0.8,1.0,0.0,1.0,0.6,0.3,0,0.7,0.9,1.3,0.0,0.4,1.4,23.0,0.0,1.2,0.1,4.09,-1.09,0.2,37.0,0.11
Karim Adeyemi,Borussia Dortmund,22," AM(LR),FW",20(4),1399,6,5,9,0,1.6,77.2,0.4,1,6.86,0.7,0.3,0.9,0.0,0.1,0.9,0.0,0,1.2,1.4,1.3,0.0,1.1,1.8,17.4,0.0,0.4,0.1,5.34,0.66,0.34,38.0,0.14
Sadio Mané,Bayern Munich,32," AM(CLR),FW",18(7),1432,7,5,2,0,2.2,76.4,0.9,0,6.86,0.4,0.0,0.6,0.0,0.1,0.3,0.1,0,1.0,1.0,1.0,0.8,0.6,2.1,15.4,0.3,0.2,0.0,10.84,-3.84,0.68,55.0,0.2
Anton Stach,Mainz 05,25, M(C),22(8),2078,1,4,4,0,1.2,72.2,2.4,1,6.85,0.9,1.4,0.9,0.0,0.8,0.7,0.1,0,1.0,0.8,1.3,0.1,0.5,1.5,27.5,0.6,1.0,0.2,2.27,-1.27,0.1,36.0,0.06
Dodi Lukébakio,Hertha Berlin,26," AM(CLR),FW",27(5),2407,11,3,8,0,2.0,73.9,0.5,3,6.85,0.6,0.4,1.0,0.0,0.5,0.7,0.2,0,0.9,2.1,1.8,0.5,1.5,2.6,17.0,0.5,0.9,0.0,9.82,1.18,0.37,64.0,0.15
Robert Andrich,Bayer Leverkusen,29," D(C),M(C)",28(1),2409,2,2,8,0,1.0,83.9,1.9,0,6.85,2.1,1.4,1.2,0.1,1.8,0.7,0.3,1,0.6,0.1,0.7,0.0,0.1,0.7,49.8,0.1,1.8,0.0,1.71,0.29,0.06,30.0,0.06
Lucas Höler,Freiburg,29," AM(CLR),FW",16(10),1508,5,2,1,0,1.2,66.3,2.7,2,6.84,0.7,0.4,0.8,0.0,0.7,0.6,0.2,0,0.5,0.4,1.4,0.3,0.5,1.1,18.0,0.0,0.3,0.0,3.31,1.69,0.2,30.0,0.11
Kevin Stöger,Bochum,30, M(CL),29(3),2610,5,3,3,0,1.5,74.2,0.3,2,6.84,2.6,0.8,1.3,0.1,0.6,2.0,0.1,0,2.1,0.7,1.7,0.0,1.1,1.3,44.3,1.3,3.0,0.2,4.06,0.94,0.14,48.0,0.08
Kevin Behrens,Union Berlin,33, FW,17(16),1536,8,1,6,0,1.1,59.6,5.4,4,6.83,0.3,0.2,1.1,0.0,0.7,0.4,0.1,0,0.6,0.4,0.8,0.4,0.6,1.4,14.2,0.1,0.3,0.1,5.18,2.82,0.3,35.0,0.15
Jan Olschowsky,Borussia M.Gladbach,22, Goalkeeper,4,360,0,0,0,0,0.0,79.1,0.0,0,6.83,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,4.0,0.0,,,,,
Georginio Rutter,Hoffenheim,22," AM(C),FW",11(4),1010,2,2,2,0,1.8,63.9,0.7,1,6.83,0.5,0.3,1.1,0.0,0.4,0.1,0.1,0,0.7,2.3,1.3,1.1,1.7,3.1,9.8,0.1,0.5,0.0,3.61,-1.61,0.32,27.0,0.13
Ihlas Bebou,Hoffenheim,30," M(CLR),FW",17(2),1423,7,0,2,0,1.5,68.3,1.5,3,6.83,1.0,0.4,1.2,0.0,0.8,0.3,0.1,0,0.8,1.4,0.5,0.4,0.9,3.2,17.6,0.0,0.5,0.0,4.92,2.08,0.31,29.0,0.17
Manuel Neuer,Bayern Munich,38, GK,12,1080,0,0,0,0,0.2,87.0,0.3,0,6.82,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.1,35.2,0.0,5.9,0.0,0.16,-0.16,0.01,2.0,0.08
Karim Onisiwo,Mainz 05,32," AM(CLR),FW",28(3),2549,10,2,4,0,2.2,60.1,1.8,2,6.82,0.6,0.1,1.6,0.0,0.2,0.5,0.0,0,1.1,1.2,1.1,0.7,1.6,3.6,17.5,0.4,0.2,0.1,7.65,2.35,0.27,68.0,0.11
Soichiro Kozuki,Schalke 04,23, AM(R),5,383,1,0,1,0,2.8,68.1,0.6,0,6.82,1.2,0.6,1.4,0.0,0.6,0.4,0.0,0,0.8,1.2,1.0,0.0,1.6,1.8,13.8,0.8,0.8,0.0,1.34,-0.34,0.32,14.0,0.1
Timo Werner,RB Leipzig,28," AM(CLR),FW",23(4),1948,9,3,2,0,2.3,76.6,0.2,4,6.82,0.4,0.3,0.3,0.0,0.1,0.3,0.0,0,0.7,1.0,0.5,0.9,0.8,2.0,23.4,0.1,0.6,0.1,9.72,-0.72,0.45,61.0,0.16
Exequiel Palacios,Bayer Leverkusen,25, M(C),19(6),1656,4,2,4,0,0.8,85.4,0.5,3,6.82,2.4,1.3,0.9,0.0,1.0,0.8,0.1,0,0.6,0.4,1.6,0.0,1.0,0.8,47.4,0.1,1.3,0.0,2.87,1.13,0.16,20.0,0.14
Marius Wolf,Borussia Dortmund,28," D(R),M(CLR)",17(8),1570,1,1,2,0,0.9,80.0,0.2,3,6.81,1.0,0.7,0.5,0.2,0.8,0.5,0.4,0,0.9,1.4,0.9,0.1,0.5,1.1,34.0,0.6,2.1,0.1,1.13,-0.13,0.07,23.0,0.05
