본번,부번,아파트명,전용면적,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,부동산유형,분양형태,k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사,k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-등록일자,k-수정일자,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,단지승인일,좌표X,좌표Y,단지신청일,target,구,동,계약날짜
658.0,1.0,개포6차우성,79.97,3,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,124000.0,강남구,개포동,2017-12-08
658.0,1.0,개포6차우성,79.97,4,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,123500.0,강남구,개포동,2017-12-22
658.0,1.0,개포6차우성,54.98,5,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,91500.0,강남구,개포동,2017-12-28
658.0,1.0,개포6차우성,79.97,4,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,130000.0,강남구,개포동,2018-01-03
658.0,1.0,개포6차우성,79.97,2,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,117000.0,강남구,개포동,2018-01-08
658.0,1.0,개포6차우성,79.97,1,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,130000.0,강남구,개포동,2018-01-11
658.0,1.0,개포6차우성,79.97,2,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,139500.0,강남구,개포동,2018-03-19
658.0,1.0,개포6차우성,54.98,5,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,107500.0,강남구,개포동,2018-04-05
658.0,1.0,개포6차우성,79.97,3,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,145000.0,강남구,개포동,2018-06-28
658.0,1.0,개포6차우성,54.98,3,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,112000.0,강남구,개포동,2018-07-09
658.0,1.0,개포6차우성,79.97,4,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,160000.0,강남구,개포동,2018-08-22
658.0,1.0,개포6차우성,79.97,5,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,160000.0,강남구,개포동,2018-09-28
658.0,1.0,개포6차우성,67.28,1,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,68000.0,강남구,개포동,2011-12-17
658.0,1.0,개포6차우성,79.97,1,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,73000.0,강남구,개포동,2008-10-04
658.0,1.0,개포6차우성,79.97,2,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,74000.0,강남구,개포동,2009-02-09
658.0,1.0,개포6차우성,67.28,4,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,59750.0,강남구,개포동,2009-03-04
658.0,1.0,개포6차우성,54.98,5,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,57500.0,강남구,개포동,2009-04-26
658.0,1.0,개포6차우성,67.28,1,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,58000.0,강남구,개포동,2009-05-22
658.0,1.0,개포6차우성,79.97,1,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,80500.0,강남구,개포동,2009-05-22
658.0,1.0,개포6차우성,79.97,5,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,80500.0,강남구,개포동,2009-06-16
658.0,1.0,개포6차우성,67.28,1,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,67700.0,강남구,개포동,2009-07-04
658.0,1.0,개포6차우성,79.97,4,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,85000.0,강남구,개포동,2009-07-04
658.0,1.0,개포6차우성,67.28,2,1987,언주로 3,, ,-,아파트,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,unknown,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,직영,단일계약,직영,4858.0,262.0,2022-11-17 13:00:29.0,127.05721,37.476763,2022-11-17 10:19:06.0,74000.0,강남구,개포동,2009-08-07
